full_name,stargazers_count,description,created_at,updated_at,forks_count,watchers_count,size,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,archived,open_issues_count
Stan-Ost/TableViewWithCollapsibleSections,75,,2017-05-26T06:15:44Z,2023-08-23T11:13:57Z,19,75,1091,Swift,True,True,True,True,False,False,False,2
zhouzhuo810/ZzBeeLayout,75,A nice Image ViewGroup like honeycomb.,2016-09-07T15:48:10Z,2023-03-03T09:35:03Z,10,75,336,Java,True,True,True,True,False,False,False,0
gbyy422990/salience_object_detection,75,,2018-03-02T05:48:00Z,2023-09-07T11:14:51Z,17,75,1507,Python,True,True,True,True,False,False,False,5
songnick/CircleBar,75,"some beautiful bar, implement them use View or ViewGroup or RLF...(RelativeLayout LinearLayout FrameLayout....), practice how to define UI by ourselves",2015-08-18T13:52:07Z,2019-02-19T06:25:32Z,27,75,6385,Java,True,True,True,True,False,False,False,1
michalkonturek/LINQ4Obj-C,75,Provides fluent interface of LINQ-style query to Objective-C.,2013-06-22T14:03:13Z,2023-09-13T19:56:44Z,3,75,1638,Objective-C,True,True,True,True,False,False,False,0
chonthu/Codeigniter-Google-Analytics-Class,75,Codeigniter 2 class for google analytics api,2012-01-05T19:33:51Z,2023-05-18T22:24:03Z,32,75,133,PHP,True,True,True,True,False,False,False,1
mediaupstream/SublimeText-Crypto,75,Encrypt and Decrypt a document or selection using OpenSSL in Sublime Text 2 & 3,2012-07-13T23:24:26Z,2023-02-05T21:13:41Z,21,75,375,Python,True,True,True,True,False,False,True,4
jupyter/docker-demo-images,75,Demo images for use in try.jupyter.org and tmpnb.org,2014-11-21T02:47:51Z,2023-01-28T21:02:32Z,131,75,41849,Jupyter Notebook,True,False,True,False,False,False,True,0
jaredly/hooks-experimental,75,"An experiment using react's new ""hooks"" with ReasonReact",2018-10-29T14:01:25Z,2021-08-30T15:14:56Z,5,75,235,OCaml,True,True,True,True,False,False,False,0
ocaml/v3.ocaml.org-rescript,75,"The next implementation of ocaml.org, built on OCaml, ReScript, NextJS, and Tailwind.",2020-12-07T21:07:19Z,2023-08-12T10:46:14Z,10,75,33238,ReScript,True,True,True,True,False,True,True,74
t-vi/candlegp,75,Gaussian Processes in Pytorch,2017-10-23T20:45:51Z,2024-12-11T03:03:04Z,8,75,2748,Jupyter Notebook,True,True,True,True,False,False,False,0
ltratt/aeschylus,75,Auto-Editing ScreenCast system,2021-01-06T19:09:03Z,2024-08-25T06:11:12Z,3,75,81,Python,True,True,True,True,False,False,False,0
hylinux1024/datingtoday,75,基于Flask开发企业级API应用系列文章项目源码,2019-07-27T03:12:10Z,2024-12-13T10:25:55Z,32,75,19,Python,True,True,True,True,False,False,False,1
RealMoMo/CircleFloatBar,75,CircleFloatBar（with animation） 圆形悬浮窗（带动画特效）,2018-01-14T14:12:39Z,2024-02-28T14:54:27Z,14,75,22213,Java,True,True,True,True,False,False,False,1
AnandChowdhary/hello-bar,75,👋 Greet your visitors with a hello bar,2018-12-30T16:44:23Z,2024-12-17T17:32:18Z,10,75,6906,JavaScript,True,True,True,True,True,False,False,6
rsrohan99/llamabot,75,"An open-source Discord bot, created using LlamaIndex, that -  Listens to your server conversations, continuously learns from them & answers your questions from the entire server.",2024-02-04T09:07:02Z,2024-12-18T08:43:49Z,14,75,102,Python,True,True,True,True,False,False,False,0
paabloLC/astro-neumorphism,75,"A simple and responsive template focused on the entire UI design style with neumorphism styles. Built with AstroJS, TypeScript, Preact, and styled with Tailwind CSS.",2022-08-22T16:34:05Z,2025-01-04T22:15:09Z,27,75,687,Astro,True,True,True,True,False,False,False,0
Amazing-J/structural-transformer,75,"Code corresponding to our paper ""Modeling Graph Structure in Transformer for Better AMR-to-Text  Generation"" in EMNLP-IJCNLP-2019",2019-08-23T10:08:15Z,2024-08-15T14:43:40Z,8,75,14598,Python,True,True,True,True,False,False,False,7
planet-work/php-malware-scanner,75,PHP files analyzer for malware detection,2015-05-08T09:33:46Z,2024-08-12T19:17:22Z,18,75,722,Python,True,True,True,True,False,False,False,10
NilStack/NKWatchActivityIndicator,75,An activity indicator library for Apple Watch and a sample to push the limit of animation in watchOS 2. — Edit,2015-08-14T23:20:03Z,2024-08-12T19:18:49Z,6,75,169,Objective-C,True,True,True,True,False,False,False,2
MagicPwnrin/CVE-2022-30206,75,Exploit for CVE-2022-30206,2022-09-10T13:44:40Z,2024-08-12T20:26:54Z,25,75,289,C++,True,True,True,True,False,False,False,0
MakerLabMe/Marlin_STM32,75,3d printer Marlin firmware for 32 bit arm cpu STM32F10X,2014-12-30T11:05:09Z,2024-08-12T03:45:17Z,47,75,13788,C,True,True,True,True,False,False,False,4
cicec/react-components,75,:ghost: 基于React的通用组件,2018-08-03T03:10:03Z,2024-12-12T14:05:39Z,59,75,313,JavaScript,True,True,True,True,True,False,False,2
dreamRs/r2d3maps,75,r2d3 experiment to draw maps in D3,2018-05-08T22:09:18Z,2024-07-21T18:49:45Z,2,75,3371,R,True,True,True,True,False,False,False,2
uzh-rpg/imips_open,75,Matching Features Without Descriptors: Implicitly Matched Interest Points,2019-07-23T13:55:48Z,2024-07-25T02:15:20Z,10,75,5227,Python,True,True,True,True,False,False,False,3
endink/Thrifty,75,"Thrifty include interface based remote call, tsl support, load balancing, and automatic service registration & discovery, thrift serializer, etc...",2017-12-01T09:49:56Z,2024-07-24T09:42:46Z,21,75,316,C#,True,True,True,True,False,False,False,2
